Country,pt,en,fr,ar,es,it,de,ru,uk,el,et,tr,pl,ko,nl
BRA,0.964306081714,0.0156727361603,0.0016701291295,8.1469713634e-05,0.0067110676606,0.00220986598232,0.000234225426698,3.05511426127e-05,0.0,1.01837142042e-05,0.000957269135199,0.000122204570451,8.1469713634e-05,0.0,0.000112020856247
USA,0.037877034637,0.742960734398,0.0436627323922,0.0270770654941,0.0848569004089,0.00408855974697,0.00640283884903,0.00833140476741,0.000617141093883,0.00223713646532,0.00416570238371,0.000617141093883,0.00246856437553,0.0050142713878,0.00254570701227
GBR,0.0117803534106,0.905472164165,0.0190955728672,0.0128253847615,0.00712521375641,0.00579517385522,0.00351510545316,0.00209006270188,0.000190005700171,0.00465513965419,0.00228006840205,0.000475014250428,0.00408512255368,0.000190005700171,0.00104503135094
AUS,0.009765625,0.916294642857,0.0139508928571,0.0114397321429,0.00920758928571,0.00167410714286,0.00446428571429,0.00948660714286,0.000279017857143,0.00167410714286,0.00251116071429,0.00111607142857,0.000558035714286,0.000837053571429,0.00111607142857
IND,0.00205185599702,0.959709009513,0.00634210035441,0.0037306472673,0.00074612945346,0.00298451781384,0.0,0.00037306472673,0.0,0.0,0.00167879127029,0.000186532363365,0.00074612945346,0.0,0.000932661816825
CAN,0.00384498634018,0.528078518668,0.420317717292,0.0100172012547,0.0136598198927,0.00192249317009,0.00192249317009,0.00394617019124,0.000303551553172,0.00111302236163,0.000910654659516,0.000404735404229,0.000910654659516,0.0014165739148,0.000809470808459
BEL,0.00611967361741,0.138032638259,0.700589301904,0.0133726201269,0.00974614687217,0.00339981867634,0.0070262919311,0.00181323662738,0.0,0.00135992747053,0.000226654578422,0.00385312783318,0.00181323662738,0.0,0.0954215775159
FRA,0.00225231487918,0.0472986124628,0.921391430081,0.00483830603676,0.00506075688902,0.00291966743598,0.00155715596585,0.00044490170453,2.78063565331e-05,0.00044490170453,0.000333676278397,0.00080638433946,0.000611739843728,8.34190695993e-05,0.000556127130662
DZA,0.0064209274673,0.0554102259215,0.498692033294,0.367181926278,0.00451843043995,0.00356718192628,0.00118906064209,0.000237812128419,0.0,0.0,0.00475624256837,0.000475624256837,0.0026159334126,0.0,0.00356718192628
MAR,0.00304678998912,0.060718171926,0.393253536453,0.491838955386,0.00565832426551,0.00326441784548,0.000652883569097,0.000217627856366,0.0,0.0,0.00282916213275,0.000435255712731,0.000435255712731,0.0,0.000435255712731
