Country,pt,en,fr,ar,es,it,de,ru,uk,el,et,tr,pl,ko,nl
EGY,0.000838847982105,0.0889178861031,0.002702954609,0.891042967658,0.00102525864479,0.00111846397614,0.00177090129555,0.000279615994035,9.3205331345e-05,0.00018641066269,0.000279615994035,0.00018641066269,0.00018641066269,0.0,0.00037282132538
IRQ,0.000888494002665,0.0670812972012,0.00222123500666,0.899378054198,0.000444247001333,0.001999111506,0.001999111506,0.000444247001333,0.0,0.000222123500666,0.00111061750333,0.001332741004,0.000222123500666,0.0,0.00111061750333
ESP,0.00548708424785,0.0504811750802,0.0175586695931,0.00557150092858,0.898531149755,0.00388316731386,0.00650008441668,0.00177275029546,0.0,0.000253250042208,0.000422083403681,0.000337666722944,0.000844166807361,8.44166807361e-05,0.000337666722944
ARG,0.00975060941309,0.0343146446653,0.00825051565723,0.00112507031689,0.93474592162,0.00300018751172,0.00075004687793,0.00075004687793,0.000187511719482,0.000187511719482,0.000375023438965,0.0,0.000187511719482,0.0,0.000562535158447
URY,0.0123456790123,0.0271604938272,0.00432098765432,0.00123456790123,0.946296296296,0.000617283950617,0.000617283950617,0.000617283950617,0.0,0.0,0.0,0.0,0.0,0.0,0.00185185185185
MEX,0.00357142857143,0.047619047619,0.00324675324675,0.00021645021645,0.940043290043,0.000974025974026,0.00140692640693,0.00021645021645,0.0,0.0,0.0,0.00021645021645,0.000108225108225,0.0,0.000108225108225
PER,0.00959232613909,0.036313806098,0.00445357999315,0.0,0.935936964714,0.00205549845838,0.000685166152792,0.000342583076396,0.0,0.0,0.0,0.0,0.0,0.0,0.000342583076396
COL,0.00209508460919,0.0291700241741,0.00257856567284,0.000322320709106,0.958420628525,0.000966962127317,0.000805801772764,0.0,0.0,0.0,0.000161160354553,0.0,0.0,0.0,0.000322320709106
ITA,0.00400250156348,0.0439024390244,0.0046904315197,0.00331457160725,0.00687929956223,0.914196372733,0.00769230769231,0.00293933708568,0.000750469043152,0.000375234521576,0.000312695434647,0.000187617260788,0.000187617260788,0.0,0.000375234521576
DEU,0.00689975967129,0.113497170323,0.0131793162261,0.0270563609582,0.01069850376,0.00635708194434,0.780215520583,0.00922552135824,0.000232576168695,0.00449647259477,0.000852779285216,0.00519420110086,0.00317854097217,0.000232576168695,0.00302349019304
AUT,0.00605143721634,0.106505295008,0.0136157337368,0.0172465960666,0.00907715582451,0.0018154311649,0.809379727685,0.00635400907716,0.00211800302572,0.000302571860817,0.000605143721634,0.0036308623298,0.00121028744327,0.0,0.000907715582451
RUS,0.00728881947156,0.0817389040739,0.00559677209423,0.00468566966029,0.00130157490564,0.000260314981127,0.0014317323962,0.874658336587,0.00221267733958,0.0,0.00117141741507,0.000260314981127,0.0,0.000390472471691,0.000260314981127
UKR,0.00221883233948,0.0812647344335,0.0094300374428,0.00360560255166,0.000832062127306,0.00221883233948,0.0023575093607,0.728193038414,0.146026903342,0.0,0.00208015531826,0.000832062127306,0.00055470808487,0.000138677021218,0.00055470808487
GRC,0.00212210251388,0.16046359778,0.00799869409076,0.00277505713353,0.00228534116879,0.00669278485145,0.00424420502775,0.00195886385896,0.00048971596474,0.780117531832,0.00342801175318,0.000652954619654,0.00114267058439,0.000163238654913,0.000979431929481
AFG,0.0323545405111,0.214790647091,0.0459488852637,0.00516585100598,0.00951604132681,0.00244698205546,0.00761283306145,0.00135943447526,0.0,0.0,0.635671560631,0.000815660685155,0.00217509516041,0.0,0.000543773790103
TUR,0.00089179548157,0.139120095125,0.00564803804994,0.127824019025,0.00118906064209,0.00148632580262,0.00683709869203,0.00237812128419,0.0,0.000297265160523,0.00089179548157,0.682223543401,0.000297265160523,0.0,0.000297265160523
POL,0.00311111111111,0.152444444444,0.00533333333333,0.00533333333333,0.00488888888889,0.00133333333333,0.00311111111111,0.00577777777778,0.000888888888889,0.0,0.000888888888889,0.000888888888889,0.791555555556,0.0,0.0
KOR,0.00293542074364,0.100293542074,0.00391389432485,0.000978473581213,0.00538160469667,0.0,0.00146771037182,0.000489236790607,0.0,0.0,0.000489236790607,0.000489236790607,0.000489236790607,0.865949119374,0.000489236790607
NLD,0.0142267094998,0.468104635154,0.0234052317577,0.0445158329509,0.0211106011932,0.00413033501606,0.0110142267095,0.00826067003212,0.000458926112896,0.0110142267095,0.000917852225792,0.0114731528224,0.00458926112896,0.0,0.354749885268
