Country Code,Value
BRA,4.99209379722
FRA,4.55585591301
ITA,4.20384846375
USA,4.11270552103
DEU,4.11055604276
ESP,4.0735717283
EGY,4.03055924529
GBR,4.02226336568
CAN,3.99488879536
MEX,3.96567197122
RUS,3.88553083319
UKR,3.85799549556
COL,3.79274178583
GRC,3.78717699247
IND,3.72924580723
ARG,3.72697158368
MAR,3.66228551572
IRQ,3.65340549066
BEL,3.64463550377
DZA,3.62376600013
AFG,3.5656117249
AUS,3.55436800099
TUR,3.52685598713
AUT,3.51917146382
PER,3.46523409499
ZAF,3.44575983649
CHE,3.44263652578
CHL,3.41212440617
POL,3.35218251811
NLD,3.33825723025
VEN,3.3113299523
KOR,3.31048089146
PRT,3.28126068706
SAU,3.22427401429
URY,3.20951501454
SYR,3.16583762469
ALB,3.14488541829
TUN,3.14488541829
ECU,3.12710479836
PSE,3.12057393121
YEM,3.11092624227
SWE,3.06295783408
NZL,3.02978947083
IRL,3.02530586526
LBY,2.98091193778
BGD,2.96894968098
CRI,2.96707973414
PAK,2.94645226501
ROU,2.91803033678
JOR,2.90417436828
ISR,2.87966920563
AZE,2.86628733908
JPN,2.85186960073
DOM,2.78675142215
MYS,2.76715586608
BGR,2.75663610825
SDN,2.75204844782
NOR,2.75127910398
PHL,2.75050839485
GTM,2.73878055848
IDN,2.7355988997
ARE,2.73078227567
IRN,2.70671778234
KEN,2.69722934276
HKG,2.69019608003
KAZ,2.68752896121
XKX,2.66181268554
DNK,2.66181268554
BOL,2.651278014
CYP,2.63548374681
PRY,2.63447727016
LBN,2.59879050676
REU,2.58546072951
LKA,2.56110138365
SEN,2.51188336098
HND,2.50242711998
CIV,2.46538285145
ARM,2.45788189673
FIN,2.43296929087
PAN,2.41830129132
BLR,2.41329976408
SGP,2.40483371662
SLV,2.40312052118
CZE,2.38738982634
LVA,2.38021124171
HRV,2.37106786227
NIC,2.37106786227
HUN,2.35983548234
NCL,2.35218251811
ETH,2.34830486305
KWT,2.34439227369
PRI,2.34044411484
MKD,2.33243845992
MLT,2.32837960344
GEO,2.32221929473
MUS,2.31806333496
THA,2.31386722037
BHR,2.31175386106
SVN,2.29885307641
QAT,2.28780172993
NGA,2.2833012287
CMR,2.2833012287
PYF,2.27415784926
SRB,2.26951294422
GLP,2.25767857487
MRT,2.25285303098
MDG,2.23299611039
NPL,2.22788670461
LTU,2.2121876044
LUX,2.20682587603
UGA,2.19312459835
MDV,2.18469143082
AGO,2.17609125906
MDA,2.17026171539
TZA,2.16136800223
HTI,2.1583624921
TWN,2.15533603747
KHM,2.14301480025
AND,2.13672056716
COD,2.13353890837
MMR,2.12057393121
EST,2.11727129566
ZWE,2.07188200731
ESH,2.05307844348
BIH,2.05307844348
MOZ,2.04139268516
SVK,2.02118929907
BHS,2.00432137378
CHN,2.0
ABW,1.98677173427
GHA,1.98227123304
MLI,1.97772360529
nan,1.9731278536
CYM,1.96848294855
KGZ,1.95904139232
CUB,1.95904139232
TGO,1.95424250944
VNM,1.94939000664
GAB,1.93951925262
OMN,1.91907809238
BEN,1.90848501888
GUY,1.90848501888
BFA,1.89209460269
UZB,1.88649072517
ISL,1.88081359228
TTO,1.84509804001
JAM,1.83884909074
GIN,1.83884909074
COG,1.83250891271
BDI,1.8260748027
ATG,1.81954393554
NAM,1.81291335664
BWA,1.80617997398
ASM,1.80617997398
PRK,1.77085201164
AIA,1.77085201164
BLZ,1.76342799356
ZMB,1.74036268949
DJI,1.73239375982
ERI,1.73239375982
BRN,1.7242758696
NER,1.7075701761
BRB,1.69019608003
CAF,1.66275783168
FJI,1.63346845558
SOM,1.56820172407
BMU,1.56820172407
ANT,1.56820172407
MCO,1.56820172407
MNG,1.55630250077
RWA,1.55630250077
CPV,1.54406804435
SSD,1.54406804435
PNG,1.53147891704
VGB,1.50514997832
MNE,1.50514997832
TJK,1.47712125472
BTN,1.47712125472
GIB,1.44715803134
TCD,1.41497334797
SHN,1.41497334797
STP,1.39794000867
VAT,1.38021124171
GMB,1.38021124171
MAC,1.36172783602
VUT,1.36172783602
LBR,1.30102999566
DMA,1.27875360095
COM,1.27875360095
MWI,1.27875360095
SLE,1.27875360095
SUR,1.2552725051
GNB,1.2552725051
SWZ,1.20411998266
LIE,1.14612803568
GRD,1.14612803568
GNQ,1.14612803568
LAO,1.14612803568
TLS,1.14612803568
SYC,1.11394335231
SMR,1.11394335231
TON,1.07918124605
COK,1.04139268516
GRL,1.04139268516
WLF,1.04139268516
SLB,1.04139268516
TUV,1.0
TCA,0.954242509439
GUM,0.954242509439
LCA,0.954242509439
WSM,0.954242509439
FLK,0.903089986992
LSO,0.903089986992
MHL,0.845098040014
SPM,0.845098040014
FSM,0.778151250384
NRU,0.778151250384
TKM,0.698970004336
FRO,0.698970004336
KIR,0.602059991328
MSR,0.602059991328
MNP,0.602059991328
PLW,0.602059991328
VCT,0.47712125472
KNA,0.301029995664
