Country Code,Value
BRA,98196
FRA,35963
ITA,15990
USA,12963
DEU,12899
ESP,11846
EGY,10729
GBR,10526
CAN,9883
MEX,9240
RUS,7683
UKR,7211
COL,6205
GRC,6126
IND,5361
ARG,5333
MAR,4595
IRQ,4502
BEL,4412
DZA,4205
AFG,3678
AUS,3584
TUR,3364
AUT,3305
PER,2919
ZAF,2791
CHE,2771
CHL,2583
POL,2250
NLD,2179
VEN,2048
KOR,2044
PRT,1911
SAU,1676
URY,1620
SYR,1465
ALB,1396
TUN,1396
ECU,1340
PSE,1320
YEM,1291
SWE,1156
NZL,1071
IRL,1060
LBY,957
BGD,931
CRI,927
PAK,884
ROU,828
JOR,802
ISR,758
AZE,735
JPN,711
DOM,612
MYS,585
BGR,571
SDN,565
NOR,564
PHL,563
GTM,548
IDN,544
ARE,538
IRN,509
KEN,498
HKG,490
KAZ,487
XKX,459
DNK,459
BOL,448
CYP,432
PRY,431
LBN,397
REU,385
LKA,364
SEN,325
HND,318
CIV,292
ARM,287
FIN,271
PAN,262
BLR,259
SGP,254
SLV,253
CZE,244
LVA,240
HRV,235
NIC,235
HUN,229
NCL,225
ETH,223
KWT,221
PRI,219
MKD,215
MLT,213
GEO,210
MUS,208
THA,206
BHR,205
SVN,199
QAT,194
NGA,192
CMR,192
PYF,188
SRB,186
GLP,181
MRT,179
MDG,171
NPL,169
LTU,163
LUX,161
UGA,156
MDV,153
AGO,150
MDA,148
TZA,145
HTI,144
TWN,143
KHM,139
AND,137
COD,136
MMR,132
EST,131
ZWE,118
ESH,113
BIH,113
MOZ,110
SVK,105
BHS,101
CHN,100
ABW,97
GHA,96
MLI,95
nan,94
CYM,93
KGZ,91
CUB,91
TGO,90
VNM,89
GAB,87
OMN,83
BEN,81
GUY,81
BFA,78
UZB,77
ISL,76
TTO,70
JAM,69
GIN,69
COG,68
BDI,67
ATG,66
NAM,65
BWA,64
ASM,64
PRK,59
AIA,59
BLZ,58
ZMB,55
DJI,54
ERI,54
BRN,53
NER,51
BRB,49
CAF,46
FJI,43
SOM,37
BMU,37
ANT,37
MCO,37
MNG,36
RWA,36
CPV,35
SSD,35
PNG,34
VGB,32
MNE,32
TJK,30
BTN,30
GIB,28
TCD,26
SHN,26
STP,25
VAT,24
GMB,24
MAC,23
VUT,23
LBR,20
DMA,19
COM,19
MWI,19
SLE,19
SUR,18
GNB,18
SWZ,16
LIE,14
GRD,14
GNQ,14
LAO,14
TLS,14
SYC,13
SMR,13
TON,12
COK,11
GRL,11
WLF,11
SLB,11
TUV,10
TCA,9
GUM,9
LCA,9
WSM,9
FLK,8
LSO,8
MHL,7
SPM,7
FSM,6
NRU,6
TKM,5
FRO,5
KIR,4
MSR,4
MNP,4
PLW,4
VCT,3
KNA,2
