Country Code,Value
ABW,1242.0
AFG,85742.0
AGO,75855.0
AIA,611.0
ALB,209265.0
AND,1427.0
ANT,5909.0
ARE,22700.0
ARG,658571.0
ARM,70979.0
ASM,66.0
ATG,186.0
AUS,536458.0
AUT,865512.0
AZE,105554.0
BDI,4052.0
BEL,1322320.0
BEN,5676.0
BFA,4072.0
BGD,62459.0
BGR,124329.0
BHR,21850.0
BHS,3190.0
BIH,12961.0
BLR,18157.0
BLZ,2371.0
BMU,371.0
BOL,287096.0
BRA,26860544.0
BRB,14093.0
BRN,3528.0
BTN,7498.0
BWA,2104.0
CAF,986.0
CAN,4968678.0
CHE,629559.0
CHL,1187593.0
CHN,54549.0
CIV,27080.0
CMR,12603.0
COD,26785.0
COG,1598.0
COK,2450.0
COL,704466.0
COM,551.0
CPV,1209.0
CRI,1650642.0
CUB,2262.0
CYM,629.0
CYP,138660.0
CZE,33906.0
DEU,4634775.0
DJI,2570.0
DMA,24.0
DNK,97274.0
DOM,66404.0
DZA,242316.0
ECU,241189.0
EGY,810771.0
ERI,601.0
ESH,5981.0
ESP,3928757.0
EST,115430.0
ETH,4241.0
FIN,49140.0
FJI,1731.0
FLK,7.0
FRA,13683092.0
FRO,134.0
FSM,1045.0
GAB,6267.0
GBR,16804840.0
GEO,25903.0
GHA,770.0
GIB,1154.0
GIN,2208.0
GLP,45719.0
GMB,580.0
GNB,1447.0
GNQ,286.0
GRC,2111807.0
GRD,90.0
GRL,22.0
GTM,109524.0
GUM,634.0
GUY,13332.0
HKG,228819.0
HND,40516.0
HRV,76140.0
HTI,4894.0
HUN,8180.0
IDN,1422828.0
IND,2369041.0
IRL,393514.0
IRN,25369.0
IRQ,210777.0
ISL,5585.0
ISR,62036.0
ITA,5316081.0
JAM,21972.0
JOR,44349.0
JPN,105860.0
KAZ,176117.0
KEN,2815740.0
KGZ,4376.0
KHM,6386.0
KIR,4.0
KNA,1.0
KOR,663149.0
KWT,6371.0
LAO,2624.0
LBN,31507.0
LBR,43.0
LBY,35651.0
LCA,21.0
LIE,124.0
LKA,67352.0
LSO,12.0
LTU,37103.0
LUX,33338.0
LVA,18328.0
MAC,27.0
MAR,621636.0
MCO,2815.0
MDA,12427.0
MDG,15417.0
MDV,25807.0
MEX,1918976.0
MHL,128.0
MKD,24138.0
MLI,3312.0
MLT,52272.0
MMR,83778.0
MNE,817.0
MNG,2788.0
MNP,11.0
MOZ,14406.0
MRT,7513.0
MSR,4.0
MUS,100565.0
MWI,2618.0
MYS,42968.0
NAM,5363.0
NCL,91036.0
NER,1026.0
NGA,9559.0
NIC,13776.0
NLD,449236.0
NOR,250445.0
NPL,27097.0
NRU,125.0
NZL,350092.0
OMN,2371.0
PAK,89573.0
PAN,15591.0
PER,1598868.0
PHL,490286.0
PLW,52.0
PNG,1258.0
POL,1106711.0
PRI,65158.0
PRK,212.0
PRT,363833.0
PRY,52915.0
PSE,816908.0
PYF,68929.0
QAT,17415.0
REU,98383.0
ROU,384838.0
RUS,1583382.0
RWA,92.0
SAU,82308.0
SDN,38389.0
SEN,512778.0
SGP,36928.0
SHN,337.0
SLB,28.0
SLE,863.0
SLV,22229.0
SMR,211.0
SOM,171.0
SPM,1439.0
SRB,15097.0
SSD,68.0
STP,2377.0
SUR,2484.0
SVK,3606.0
SVN,21618.0
SWE,501432.0
SWZ,246.0
SYC,69.0
SYR,177050.0
TCA,346.0
TCD,430.0
TGO,1994.0
THA,12607.0
TJK,4454.0
TKM,9.0
TLS,236.0
TON,20.0
TTO,10399.0
TUN,114041.0
TUR,293822.0
TUV,1009.0
TWN,6342.0
TZA,9928.0
UGA,1021138.0
UKR,1658872.0
URY,325020.0
USA,18117278.0
UZB,48435.0
VAT,81.0
VCT,4.0
VEN,180755.0
VGB,3476.0
VNM,796.0
VUT,815.0
WLF,22.0
WSM,517.0
XKX,11045.0
YEM,27838.0
ZAF,1303439.0
ZMB,4241.0
ZWE,50326.0
