Country Code,Value
ABW,12.8041237113
AFG,23.3121261555
AGO,505.7
AIA,10.3559322034
ALB,149.903295129
AND,10.4160583942
ANT,159.702702703
ARE,42.1933085502
ARG,123.489780611
ARM,247.31358885
ASM,1.03125
ATG,2.81818181818
AUS,149.681361607
AUT,261.879576399
AZE,143.610884354
BDI,60.4776119403
BEL,299.70988214
BEN,70.0740740741
BFA,52.2051282051
BGD,67.0880773362
BGR,217.739054291
BHR,106.585365854
BHS,31.5841584158
BIH,114.699115044
BLR,70.1042471042
BLZ,40.8793103448
BMU,10.027027027
BOL,640.839285714
BRA,273.540103467
BRB,287.612244898
BRN,66.5660377358
BTN,249.933333333
BWA,32.875
CAF,21.4347826087
CAN,502.749974704
CHE,227.195597257
CHL,459.77274487
CHN,545.49
CIV,92.7397260274
CMR,65.640625
COD,196.948529412
COG,23.5
COK,222.727272727
COL,113.53199033
COM,29.0
CPV,34.5428571429
CRI,1780.62783172
CUB,24.8571428571
CYM,6.76344086022
CYP,320.972222222
CZE,138.959016393
DEU,359.312737422
DJI,47.5925925926
DMA,1.26315789474
DNK,211.925925926
DOM,108.503267974
DZA,57.6256837099
ECU,179.991791045
EGY,75.5681796999
ERI,11.1296296296
ESH,52.9292035398
ESP,331.652625359
EST,881.145038168
ETH,19.0179372197
FIN,181.328413284
FJI,40.2558139535
FLK,0.875
FRA,380.476934627
FRO,26.8
FSM,174.166666667
GAB,72.0344827586
GBR,1596.50769523
GEO,123.347619048
GHA,8.02083333333
GIB,41.2142857143
GIN,32.0
GLP,252.591160221
GMB,24.1666666667
GNB,80.3888888889
GNQ,20.4285714286
GRC,344.728534117
GRD,6.42857142857
GRL,2.0
GTM,199.861313869
GUM,70.4444444444
GUY,164.592592593
HKG,466.97755102
HND,127.408805031
HRV,324.0
HTI,33.9861111111
HUN,35.7205240175
IDN,2615.49264706
IND,441.902816639
IRL,371.239622642
IRN,49.8408644401
IRQ,46.8185251
ISL,73.4868421053
ISR,81.8416886544
ITA,332.462851782
JAM,318.434782609
JOR,55.2980049875
JPN,148.888888889
KAZ,361.636550308
KEN,5654.09638554
KGZ,48.0879120879
KHM,45.9424460432
KIR,1.0
KNA,0.5
KOR,324.436888454
KWT,28.8280542986
LAO,187.428571429
LBN,79.362720403
LBR,2.15
LBY,37.2528735632
LCA,2.33333333333
LIE,8.85714285714
LKA,185.032967033
LSO,1.5
LTU,227.625766871
LUX,207.068322981
LVA,76.3666666667
MAC,1.17391304348
MAR,135.28531012
MCO,76.0810810811
MDA,83.9662162162
MDG,90.1578947368
MDV,168.673202614
MEX,207.681385281
MHL,18.2857142857
MKD,112.269767442
MLI,34.8631578947
MLT,245.408450704
MMR,634.681818182
MNE,25.53125
MNG,77.4444444444
MNP,2.75
MOZ,130.963636364
MRT,41.9720670391
MSR,1.0
MUS,483.485576923
MWI,137.789473684
MYS,73.4495726496
NAM,82.5076923077
NCL,404.604444444
NER,20.1176470588
NGA,49.7864583333
NIC,58.6212765957
NLD,206.166131253
NOR,444.05141844
NPL,160.337278107
NRU,20.8333333333
NZL,326.883286648
OMN,28.5662650602
PAK,101.326923077
PAN,59.5076335878
PER,547.745118191
PHL,870.845470693
PLW,13.0
PNG,37.0
POL,491.871555556
PRI,297.525114155
PRK,3.59322033898
PRT,190.388801675
PRY,122.77262181
PSE,618.86969697
PYF,366.643617021
QAT,89.7680412371
REU,255.54025974
ROU,464.780193237
RUS,206.089027724
RWA,2.55555555556
SAU,49.1097852029
SDN,67.9451327434
SEN,1577.77846154
SGP,145.385826772
SHN,12.9615384615
SLB,2.54545454545
SLE,45.4210526316
SLV,87.8616600791
SMR,16.2307692308
SOM,4.62162162162
SPM,205.571428571
SRB,81.1666666667
SSD,1.94285714286
STP,95.08
SUR,138.0
SVK,34.3428571429
SVN,108.633165829
SWE,433.764705882
SWZ,15.375
SYC,5.30769230769
SYR,120.853242321
TCA,38.4444444444
TCD,16.5384615385
TGO,22.1555555556
THA,61.1990291262
TJK,148.466666667
TKM,1.8
TLS,16.8571428571
TON,1.66666666667
TTO,148.557142857
TUN,81.691260745
TUR,87.3430439952
TUV,100.9
TWN,44.3496503497
TZA,68.4689655172
UGA,6545.75641026
UKR,230.047427541
URY,200.62962963
USA,1397.61459539
UZB,629.025974026
VAT,3.375
VCT,1.33333333333
VEN,88.2592773438
VGB,108.625
VNM,8.94382022472
VUT,35.4347826087
WLF,2.0
WSM,57.4444444444
XKX,24.0631808279
YEM,21.5631293571
ZAF,467.01504837
ZMB,77.1090909091
ZWE,426.491525424
